"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - collision_end_mean","peach-sweep-10 - collision_end_mean__MIN","peach-sweep-10 - collision_end_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - collision_end_mean","exalted-sweep-9 - collision_end_mean__MIN","exalted-sweep-9 - collision_end_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - collision_end_mean","balmy-sweep-8 - collision_end_mean__MIN","balmy-sweep-8 - collision_end_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - collision_end_mean","still-sweep-7 - collision_end_mean__MIN","still-sweep-7 - collision_end_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - collision_end_mean","graceful-sweep-6 - collision_end_mean__MIN","graceful-sweep-6 - collision_end_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - collision_end_mean","lively-sweep-5 - collision_end_mean__MIN","lively-sweep-5 - collision_end_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - collision_end_mean","astral-sweep-4 - collision_end_mean__MIN","astral-sweep-4 - collision_end_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - collision_end_mean","light-sweep-3 - collision_end_mean__MIN","light-sweep-3 - collision_end_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - collision_end_mean","eternal-sweep-2 - collision_end_mean__MIN","eternal-sweep-2 - collision_end_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - collision_end_mean","hardy-sweep-1 - collision_end_mean__MIN","hardy-sweep-1 - collision_end_mean__MAX"
"196500","9825","9825","9825","0.32","0.32","0.32","9825","9825","9825","0.2","0.2","0.2","9825","9825","9825","0.4","0.4","0.4","9825","9825","9825","0.2","0.2","0.2","9825","9825","9825","0.32","0.32","0.32","9825","9825","9825","0.36","0.36","0.36","9825","9825","9825","0.24","0.24","0.24","9825","9825","9825","0.32","0.32","0.32","9825","9825","9825","0.16","0.16","0.16","9825","9825","9825","0.24","0.24","0.24"
"197000","9850","9850","9850","0.44","0.44","0.44","9850","9850","9850","0.16","0.16","0.16","9850","9850","9850","0.44","0.44","0.44","9850","9850","9850","0.24","0.24","0.24","9850","9850","9850","0.36","0.36","0.36","9850","9850","9850","0.4","0.4","0.4","9850","9850","9850","0.44","0.44","0.44","9850","9850","9850","0.36","0.36","0.36","9850","9850","9850","0.28","0.28","0.28","9850","9850","9850","0.32","0.32","0.32"
"197500","9875","9875","9875","0.36","0.36","0.36","9875","9875","9875","0.32","0.32","0.32","9875","9875","9875","0.4","0.4","0.4","9875","9875","9875","0.32","0.32","0.32","9875","9875","9875","0.24","0.24","0.24","9875","9875","9875","0.36","0.36","0.36","9875","9875","9875","0.4","0.4","0.4","9875","9875","9875","0.24","0.24","0.24","9875","9875","9875","0.28","0.28","0.28","9875","9875","9875","0.24","0.24","0.24"
"198000","9900","9900","9900","0.48","0.48","0.48","9900","9900","9900","0.48","0.48","0.48","9900","9900","9900","0.4","0.4","0.4","9900","9900","9900","0.36","0.36","0.36","9900","9900","9900","0.32","0.32","0.32","9900","9900","9900","0.28","0.28","0.28","9900","9900","9900","0.28","0.28","0.28","9900","9900","9900","0.36","0.36","0.36","9900","9900","9900","0.28","0.28","0.28","9900","9900","9900","0.24","0.24","0.24"
"198500","9925","9925","9925","0.44","0.44","0.44","9925","9925","9925","0.48","0.48","0.48","9925","9925","9925","0.48","0.48","0.48","9925","9925","9925","0.32","0.32","0.32","9925","9925","9925","0.32","0.32","0.32","9925","9925","9925","0.32","0.32","0.32","9925","9925","9925","0.32","0.32","0.32","9925","9925","9925","0.4","0.4","0.4","9925","9925","9925","0.44","0.44","0.44","9925","9925","9925","0.4","0.4","0.4"
"199000","9950","9950","9950","0.36","0.36","0.36","9950","9950","9950","0.36","0.36","0.36","9950","9950","9950","0.4","0.4","0.4","9950","9950","9950","0.4","0.4","0.4","9950","9950","9950","0.32","0.32","0.32","9950","9950","9950","0.36","0.36","0.36","9950","9950","9950","0.4","0.4","0.4","9950","9950","9950","0.36","0.36","0.36","9950","9950","9950","0.36","0.36","0.36","9950","9950","9950","0.48","0.48","0.48"
"199500","9975","9975","9975","0.44","0.44","0.44","9975","9975","9975","0.2","0.2","0.2","9975","9975","9975","0.36","0.36","0.36","9975","9975","9975","0.4","0.4","0.4","9975","9975","9975","0.32","0.32","0.32","9975","9975","9975","0.36","0.36","0.36","9975","9975","9975","0.52","0.52","0.52","9975","9975","9975","0.4","0.4","0.4","9975","9975","9975","0.32","0.32","0.32","9975","9975","9975","0.36","0.36","0.36"
"200500","10025","10025","10025","0.28","0.28","0.28","10025","10025","10025","0.28","0.28","0.28","10025","10025","10025","0.28","0.28","0.28","10025","10025","10025","0.28","0.28","0.28","10025","10025","10025","0.24","0.24","0.24","10025","10025","10025","0.44","0.44","0.44","10025","10025","10025","0.44","0.44","0.44","10025","10025","10025","0.24","0.24","0.24","10025","10025","10025","0.28","0.28","0.28","10025","10025","10025","0.36","0.36","0.36"
"201000","10050","10050","10050","0.28","0.28","0.28","10050","10050","10050","0.28","0.28","0.28","10050","10050","10050","0.24","0.24","0.24","10050","10050","10050","0.32","0.32","0.32","10050","10050","10050","0.28","0.28","0.28","10050","10050","10050","0.52","0.52","0.52","10050","10050","10050","0.24","0.24","0.24","10050","10050","10050","0.4","0.4","0.4","10050","10050","10050","0.2","0.2","0.2","10050","10050","10050","0.4","0.4","0.4"
"201500","10075","10075","10075","0.32","0.32","0.32","10075","10075","10075","0.16","0.16","0.16","10075","10075","10075","0.32","0.32","0.32","10075","10075","10075","0.32","0.32","0.32","10075","10075","10075","0.4","0.4","0.4","10075","10075","10075","0.52","0.52","0.52","10075","10075","10075","0.32","0.32","0.32","10075","10075","10075","0.32","0.32","0.32","10075","10075","10075","0.24","0.24","0.24","10075","10075","10075","0.24","0.24","0.24"
"202000","10100","10100","10100","0.36","0.36","0.36","10100","10100","10100","0.12","0.12","0.12","10100","10100","10100","0.4","0.4","0.4","10100","10100","10100","0.36","0.36","0.36","10100","10100","10100","0.32","0.32","0.32","10100","10100","10100","0.4","0.4","0.4","10100","10100","10100","0.28","0.28","0.28","10100","10100","10100","0.32","0.32","0.32","10100","10100","10100","0.28","0.28","0.28","10100","10100","10100","0.2","0.2","0.2"
"202500","10125","10125","10125","0.28","0.28","0.28","10125","10125","10125","0.2","0.2","0.2","10125","10125","10125","0.4","0.4","0.4","10125","10125","10125","0.4","0.4","0.4","10125","10125","10125","0.24","0.24","0.24","10125","10125","10125","0.28","0.28","0.28","10125","10125","10125","0.32","0.32","0.32","10125","10125","10125","0.4","0.4","0.4","10125","10125","10125","0.24","0.24","0.24","10125","10125","10125","0.36","0.36","0.36"
"203000","10150","10150","10150","0.4","0.4","0.4","10150","10150","10150","0.32","0.32","0.32","10150","10150","10150","0.36","0.36","0.36","10150","10150","10150","0.36","0.36","0.36","10150","10150","10150","0.32","0.32","0.32","10150","10150","10150","0.28","0.28","0.28","10150","10150","10150","0.4","0.4","0.4","10150","10150","10150","0.36","0.36","0.36","10150","10150","10150","0.28","0.28","0.28","10150","10150","10150","0.4","0.4","0.4"
"203500","10175","10175","10175","0.44","0.44","0.44","10175","10175","10175","0.28","0.28","0.28","10175","10175","10175","0.32","0.32","0.32","10175","10175","10175","0.32","0.32","0.32","10175","10175","10175","0.36","0.36","0.36","10175","10175","10175","0.32","0.32","0.32","10175","10175","10175","0.4","0.4","0.4","10175","10175","10175","0.36","0.36","0.36","10175","10175","10175","0.28","0.28","0.28","10175","10175","10175","0.28","0.28","0.28"
"204000","10200","10200","10200","0.44","0.44","0.44","10200","10200","10200","0.24","0.24","0.24","10200","10200","10200","0.4","0.4","0.4","10200","10200","10200","0.28","0.28","0.28","10200","10200","10200","0.24","0.24","0.24","10200","10200","10200","0.2","0.2","0.2","10200","10200","10200","0.36","0.36","0.36","10200","10200","10200","0.36","0.36","0.36","10200","10200","10200","0.32","0.32","0.32","10200","10200","10200","0.4","0.4","0.4"
"204500","10225","10225","10225","0.28","0.28","0.28","10225","10225","10225","0.28","0.28","0.28","10225","10225","10225","0.56","0.56","0.56","10225","10225","10225","0.32","0.32","0.32","10225","10225","10225","0.16","0.16","0.16","10225","10225","10225","0.2","0.2","0.2","10225","10225","10225","0.32","0.32","0.32","10225","10225","10225","0.4","0.4","0.4","10225","10225","10225","0.36","0.36","0.36","10225","10225","10225","0.48","0.48","0.48"
"205000","10250","10250","10250","0.24","0.24","0.24","10250","10250","10250","0.32","0.32","0.32","10250","10250","10250","0.48","0.48","0.48","10250","10250","10250","0.4","0.4","0.4","10250","10250","10250","0.24","0.24","0.24","10250","10250","10250","0.24","0.24","0.24","10250","10250","10250","0.24","0.24","0.24","10250","10250","10250","0.32","0.32","0.32","10250","10250","10250","0.32","0.32","0.32","10250","10250","10250","0.44","0.44","0.44"
"205500","10275","10275","10275","0.24","0.24","0.24","10275","10275","10275","0.32","0.32","0.32","10275","10275","10275","0.4","0.4","0.4","10275","10275","10275","0.4","0.4","0.4","10275","10275","10275","0.4","0.4","0.4","10275","10275","10275","0.32","0.32","0.32","10275","10275","10275","0.24","0.24","0.24","10275","10275","10275","0.32","0.32","0.32","10275","10275","10275","0.36","0.36","0.36","10275","10275","10275","0.4","0.4","0.4"
"206000","10300","10300","10300","0.32","0.32","0.32","10300","10300","10300","0.32","0.32","0.32","10300","10300","10300","0.4","0.4","0.4","10300","10300","10300","0.48","0.48","0.48","10300","10300","10300","0.4","0.4","0.4","10300","10300","10300","0.44","0.44","0.44","10300","10300","10300","0.24","0.24","0.24","10300","10300","10300","0.36","0.36","0.36","10300","10300","10300","0.32","0.32","0.32","10300","10300","10300","0.36","0.36","0.36"
"206500","10325","10325","10325","0.32","0.32","0.32","10325","10325","10325","0.4","0.4","0.4","10325","10325","10325","0.48","0.48","0.48","10325","10325","10325","0.32","0.32","0.32","10325","10325","10325","0.32","0.32","0.32","10325","10325","10325","0.56","0.56","0.56","10325","10325","10325","0.28","0.28","0.28","10325","10325","10325","0.32","0.32","0.32","10325","10325","10325","0.24","0.24","0.24","10325","10325","10325","0.4","0.4","0.4"
"207000","10350","10350","10350","0.4","0.4","0.4","10350","10350","10350","0.44","0.44","0.44","10350","10350","10350","0.44","0.44","0.44","10350","10350","10350","0.36","0.36","0.36","10350","10350","10350","0.32","0.32","0.32","10350","10350","10350","0.36","0.36","0.36","10350","10350","10350","0.36","0.36","0.36","10350","10350","10350","0.32","0.32","0.32","10350","10350","10350","0.24","0.24","0.24","10350","10350","10350","0.4","0.4","0.4"
"207500","10375","10375","10375","0.36","0.36","0.36","10375","10375","10375","0.4","0.4","0.4","10375","10375","10375","0.4","0.4","0.4","10375","10375","10375","0.44","0.44","0.44","10375","10375","10375","0.28","0.28","0.28","10375","10375","10375","0.36","0.36","0.36","10375","10375","10375","0.44","0.44","0.44","10375","10375","10375","0.44","0.44","0.44","10375","10375","10375","0.28","0.28","0.28","10375","10375","10375","0.48","0.48","0.48"
"208000","10400","10400","10400","0.32","0.32","0.32","10400","10400","10400","0.4","0.4","0.4","10400","10400","10400","0.28","0.28","0.28","10400","10400","10400","0.4","0.4","0.4","10400","10400","10400","0.24","0.24","0.24","10400","10400","10400","0.24","0.24","0.24","10400","10400","10400","0.4","0.4","0.4","10400","10400","10400","0.4","0.4","0.4","10400","10400","10400","0.28","0.28","0.28","10400","10400","10400","0.48","0.48","0.48"
"208500","10425","10425","10425","0.4","0.4","0.4","10425","10425","10425","0.32","0.32","0.32","10425","10425","10425","0.36","0.36","0.36","10425","10425","10425","0.28","0.28","0.28","10425","10425","10425","0.24","0.24","0.24","10425","10425","10425","0.28","0.28","0.28","10425","10425","10425","0.32","0.32","0.32","10425","10425","10425","0.28","0.28","0.28","10425","10425","10425","0.36","0.36","0.36","10425","10425","10425","0.48","0.48","0.48"
"209000","10450","10450","10450","0.32","0.32","0.32","10450","10450","10450","0.44","0.44","0.44","10450","10450","10450","0.48","0.48","0.48","10450","10450","10450","0.36","0.36","0.36","10450","10450","10450","0.28","0.28","0.28","10450","10450","10450","0.32","0.32","0.32","10450","10450","10450","0.32","0.32","0.32","10450","10450","10450","0.36","0.36","0.36","10450","10450","10450","0.24","0.24","0.24","10450","10450","10450","0.4","0.4","0.4"
"209500","10475","10475","10475","0.36","0.36","0.36","10475","10475","10475","0.36","0.36","0.36","10475","10475","10475","0.48","0.48","0.48","10475","10475","10475","0.4","0.4","0.4","10475","10475","10475","0.32","0.32","0.32","10475","10475","10475","0.32","0.32","0.32","10475","10475","10475","0.32","0.32","0.32","10475","10475","10475","0.4","0.4","0.4","10475","10475","10475","0.28","0.28","0.28","10475","10475","10475","0.32","0.32","0.32"
"210000","10500","10500","10500","0.4","0.4","0.4","10500","10500","10500","0.28","0.28","0.28","10500","10500","10500","0.36","0.36","0.36","10500","10500","10500","0.36","0.36","0.36","10500","10500","10500","0.36","0.36","0.36","10500","10500","10500","0.36","0.36","0.36","10500","10500","10500","0.4","0.4","0.4","10500","10500","10500","0.32","0.32","0.32","10500","10500","10500","0.32","0.32","0.32","10500","10500","10500","0.32","0.32","0.32"
"210500","10525","10525","10525","0.4","0.4","0.4","10525","10525","10525","0.32","0.32","0.32","10525","10525","10525","0.4","0.4","0.4","10525","10525","10525","0.32","0.32","0.32","10525","10525","10525","0.32","0.32","0.32","10525","10525","10525","0.4","0.4","0.4","10525","10525","10525","0.44","0.44","0.44","10525","10525","10525","0.28","0.28","0.28","10525","10525","10525","0.44","0.44","0.44","10525","10525","10525","0.36","0.36","0.36"
"211000","10550","10550","10550","0.32","0.32","0.32","10550","10550","10550","0.36","0.36","0.36","10550","10550","10550","0.36","0.36","0.36","10550","10550","10550","0.24","0.24","0.24","10550","10550","10550","0.32","0.32","0.32","10550","10550","10550","0.44","0.44","0.44","10550","10550","10550","0.36","0.36","0.36","10550","10550","10550","0.32","0.32","0.32","10550","10550","10550","0.44","0.44","0.44","10550","10550","10550","0.36","0.36","0.36"
"211500","10575","10575","10575","0.32","0.32","0.32","10575","10575","10575","0.28","0.28","0.28","10575","10575","10575","0.32","0.32","0.32","10575","10575","10575","0.36","0.36","0.36","10575","10575","10575","0.32","0.32","0.32","10575","10575","10575","0.4","0.4","0.4","10575","10575","10575","0.32","0.32","0.32","10575","10575","10575","0.36","0.36","0.36","10575","10575","10575","0.36","0.36","0.36","10575","10575","10575","0.36","0.36","0.36"
"212000","10600","10600","10600","0.36","0.36","0.36","10600","10600","10600","0.28","0.28","0.28","10600","10600","10600","0.32","0.32","0.32","10600","10600","10600","0.28","0.28","0.28","10600","10600","10600","0.36","0.36","0.36","10600","10600","10600","0.36","0.36","0.36","10600","10600","10600","0.4","0.4","0.4","10600","10600","10600","0.4","0.4","0.4","10600","10600","10600","0.28","0.28","0.28","10600","10600","10600","0.4","0.4","0.4"
"212500","10625","10625","10625","0.32","0.32","0.32","10625","10625","10625","0.36","0.36","0.36","10625","10625","10625","0.28","0.28","0.28","10625","10625","10625","0.24","0.24","0.24","10625","10625","10625","0.28","0.28","0.28","10625","10625","10625","0.44","0.44","0.44","10625","10625","10625","0.36","0.36","0.36","10625","10625","10625","0.4","0.4","0.4","10625","10625","10625","0.24","0.24","0.24","10625","10625","10625","0.52","0.52","0.52"
"213000","10650","10650","10650","0.24","0.24","0.24","10650","10650","10650","0.36","0.36","0.36","10650","10650","10650","0.28","0.28","0.28","10650","10650","10650","0.16","0.16","0.16","10650","10650","10650","0.4","0.4","0.4","10650","10650","10650","0.44","0.44","0.44","10650","10650","10650","0.32","0.32","0.32","10650","10650","10650","0.28","0.28","0.28","10650","10650","10650","0.24","0.24","0.24","10650","10650","10650","0.52","0.52","0.52"
"213500","10675","10675","10675","0.2","0.2","0.2","10675","10675","10675","0.28","0.28","0.28","10675","10675","10675","0.16","0.16","0.16","10675","10675","10675","0.32","0.32","0.32","10675","10675","10675","0.36","0.36","0.36","10675","10675","10675","0.32","0.32","0.32","10675","10675","10675","0.28","0.28","0.28","10675","10675","10675","0.4","0.4","0.4","10675","10675","10675","0.32","0.32","0.32","10675","10675","10675","0.4","0.4","0.4"
"214000","10700","10700","10700","0.2","0.2","0.2","10700","10700","10700","0.28","0.28","0.28","10700","10700","10700","0.12","0.12","0.12","10700","10700","10700","0.36","0.36","0.36","10700","10700","10700","0.36","0.36","0.36","10700","10700","10700","0.32","0.32","0.32","10700","10700","10700","0.4","0.4","0.4","10700","10700","10700","0.32","0.32","0.32","10700","10700","10700","0.4","0.4","0.4","10700","10700","10700","0.32","0.32","0.32"
"214500","10725","10725","10725","0.24","0.24","0.24","10725","10725","10725","0.44","0.44","0.44","10725","10725","10725","0.28","0.28","0.28","10725","10725","10725","0.44","0.44","0.44","10725","10725","10725","0.4","0.4","0.4","10725","10725","10725","0.36","0.36","0.36","10725","10725","10725","0.48","0.48","0.48","10725","10725","10725","0.4","0.4","0.4","10725","10725","10725","0.36","0.36","0.36","10725","10725","10725","0.36","0.36","0.36"
"215000","10750","10750","10750","0.16","0.16","0.16","10750","10750","10750","0.36","0.36","0.36","10750","10750","10750","0.44","0.44","0.44","10750","10750","10750","0.52","0.52","0.52","10750","10750","10750","0.36","0.36","0.36","10750","10750","10750","0.36","0.36","0.36","10750","10750","10750","0.56","0.56","0.56","10750","10750","10750","0.44","0.44","0.44","10750","10750","10750","0.4","0.4","0.4","10750","10750","10750","0.4","0.4","0.4"
"215500","10775","10775","10775","0.24","0.24","0.24","10775","10775","10775","0.32","0.32","0.32","10775","10775","10775","0.4","0.4","0.4","10775","10775","10775","0.36","0.36","0.36","10775","10775","10775","0.4","0.4","0.4","10775","10775","10775","0.4","0.4","0.4","10775","10775","10775","0.48","0.48","0.48","10775","10775","10775","0.36","0.36","0.36","10775","10775","10775","0.28","0.28","0.28","10775","10775","10775","0.32","0.32","0.32"
"216000","10800","10800","10800","0.28","0.28","0.28","10800","10800","10800","0.24","0.24","0.24","10800","10800","10800","0.36","0.36","0.36","10800","10800","10800","0.24","0.24","0.24","10800","10800","10800","0.36","0.36","0.36","10800","10800","10800","0.2","0.2","0.2","10800","10800","10800","0.32","0.32","0.32","10800","10800","10800","0.28","0.28","0.28","10800","10800","10800","0.24","0.24","0.24","10800","10800","10800","0.32","0.32","0.32"
"216500","10825","10825","10825","0.4","0.4","0.4","10825","10825","10825","0.24","0.24","0.24","10825","10825","10825","0.32","0.32","0.32","10825","10825","10825","0.32","0.32","0.32","10825","10825","10825","0.32","0.32","0.32","10825","10825","10825","0.28","0.28","0.28","10825","10825","10825","0.32","0.32","0.32","10825","10825","10825","0.32","0.32","0.32","10825","10825","10825","0.08","0.08","0.08","10825","10825","10825","0.44","0.44","0.44"
"217000","10850","10850","10850","0.44","0.44","0.44","10850","10850","10850","0.28","0.28","0.28","10850","10850","10850","0.4","0.4","0.4","10850","10850","10850","0.4","0.4","0.4","10850","10850","10850","0.28","0.28","0.28","10850","10850","10850","0.36","0.36","0.36","10850","10850","10850","0.24","0.24","0.24","10850","10850","10850","0.36","0.36","0.36","10850","10850","10850","0.16","0.16","0.16","10850","10850","10850","0.28","0.28","0.28"
"217500","10875","10875","10875","0.32","0.32","0.32","10875","10875","10875","0.4","0.4","0.4","10875","10875","10875","0.4","0.4","0.4","10875","10875","10875","0.44","0.44","0.44","10875","10875","10875","0.32","0.32","0.32","10875","10875","10875","0.2","0.2","0.2","10875","10875","10875","0.28","0.28","0.28","10875","10875","10875","0.32","0.32","0.32","10875","10875","10875","0.28","0.28","0.28","10875","10875","10875","0.36","0.36","0.36"
"218000","10900","10900","10900","0.32","0.32","0.32","10900","10900","10900","0.28","0.28","0.28","10900","10900","10900","0.36","0.36","0.36","10900","10900","10900","0.48","0.48","0.48","10900","10900","10900","0.4","0.4","0.4","10900","10900","10900","0.28","0.28","0.28","10900","10900","10900","0.32","0.32","0.32","10900","10900","10900","0.44","0.44","0.44","10900","10900","10900","0.44","0.44","0.44","10900","10900","10900","0.28","0.28","0.28"
"218500","10925","10925","10925","0.2","0.2","0.2","10925","10925","10925","0.2","0.2","0.2","10925","10925","10925","0.4","0.4","0.4","10925","10925","10925","0.4","0.4","0.4","10925","10925","10925","0.4","0.4","0.4","10925","10925","10925","0.4","0.4","0.4","10925","10925","10925","0.4","0.4","0.4","10925","10925","10925","0.28","0.28","0.28","10925","10925","10925","0.4","0.4","0.4","10925","10925","10925","0.24","0.24","0.24"
"219000","10950","10950","10950","0.28","0.28","0.28","10950","10950","10950","0.28","0.28","0.28","10950","10950","10950","0.32","0.32","0.32","10950","10950","10950","0.36","0.36","0.36","10950","10950","10950","0.28","0.28","0.28","10950","10950","10950","0.4","0.4","0.4","10950","10950","10950","0.36","0.36","0.36","10950","10950","10950","0.36","0.36","0.36","10950","10950","10950","0.32","0.32","0.32","10950","10950","10950","0.2","0.2","0.2"
"219500","10975","10975","10975","0.28","0.28","0.28","10975","10975","10975","0.28","0.28","0.28","10975","10975","10975","0.36","0.36","0.36","10975","10975","10975","0.4","0.4","0.4","10975","10975","10975","0.32","0.32","0.32","10975","10975","10975","0.36","0.36","0.36","10975","10975","10975","0.4","0.4","0.4","10975","10975","10975","0.52","0.52","0.52","10975","10975","10975","0.4","0.4","0.4","10975","10975","10975","0.28","0.28","0.28"
"220500","11025","11025","11025","0.44","0.44","0.44","11025","11025","11025","0.4","0.4","0.4","11025","11025","11025","0.36","0.36","0.36","11025","11025","11025","0.4","0.4","0.4","11025","11025","11025","0.28","0.28","0.28","11025","11025","11025","0.36","0.36","0.36","11025","11025","11025","0.24","0.24","0.24","11025","11025","11025","0.4","0.4","0.4","11025","11025","11025","0.24","0.24","0.24","11025","11025","11025","0.32","0.32","0.32"
"221000","11050","11050","11050","0.4","0.4","0.4","11050","11050","11050","0.44","0.44","0.44","11050","11050","11050","0.32","0.32","0.32","11050","11050","11050","0.36","0.36","0.36","11050","11050","11050","0.32","0.32","0.32","11050","11050","11050","0.32","0.32","0.32","11050","11050","11050","0.24","0.24","0.24","11050","11050","11050","0.28","0.28","0.28","11050","11050","11050","0.32","0.32","0.32","11050","11050","11050","0.32","0.32","0.32"
"221500","11075","11075","11075","0.4","0.4","0.4","11075","11075","11075","0.28","0.28","0.28","11075","11075","11075","0.36","0.36","0.36","11075","11075","11075","0.48","0.48","0.48","11075","11075","11075","0.24","0.24","0.24","11075","11075","11075","0.28","0.28","0.28","11075","11075","11075","0.16","0.16","0.16","11075","11075","11075","0.36","0.36","0.36","11075","11075","11075","0.44","0.44","0.44","11075","11075","11075","0.36","0.36","0.36"
"222000","11100","11100","11100","0.52","0.52","0.52","11100","11100","11100","0.32","0.32","0.32","11100","11100","11100","0.32","0.32","0.32","11100","11100","11100","0.44","0.44","0.44","11100","11100","11100","0.24","0.24","0.24","11100","11100","11100","0.4","0.4","0.4","11100","11100","11100","0.2","0.2","0.2","11100","11100","11100","0.24","0.24","0.24","11100","11100","11100","0.32","0.32","0.32","11100","11100","11100","0.4","0.4","0.4"
"222500","11125","11125","11125","0.32","0.32","0.32","11125","11125","11125","0.36","0.36","0.36","11125","11125","11125","0.44","0.44","0.44","11125","11125","11125","0.4","0.4","0.4","11125","11125","11125","0.32","0.32","0.32","11125","11125","11125","0.36","0.36","0.36","11125","11125","11125","0.28","0.28","0.28","11125","11125","11125","0.2","0.2","0.2","11125","11125","11125","0.28","0.28","0.28","11125","11125","11125","0.32","0.32","0.32"
"223000","11150","11150","11150","0.28","0.28","0.28","11150","11150","11150","0.44","0.44","0.44","11150","11150","11150","0.32","0.32","0.32","11150","11150","11150","0.24","0.24","0.24","11150","11150","11150","0.24","0.24","0.24","11150","11150","11150","0.2","0.2","0.2","11150","11150","11150","0.32","0.32","0.32","11150","11150","11150","0.28","0.28","0.28","11150","11150","11150","0.32","0.32","0.32","11150","11150","11150","0.32","0.32","0.32"
"223500","11175","11175","11175","0.28","0.28","0.28","11175","11175","11175","0.36","0.36","0.36","11175","11175","11175","0.36","0.36","0.36","11175","11175","11175","0.28","0.28","0.28","11175","11175","11175","0.24","0.24","0.24","11175","11175","11175","0.36","0.36","0.36","11175","11175","11175","0.24","0.24","0.24","11175","11175","11175","0.32","0.32","0.32","11175","11175","11175","0.32","0.32","0.32","11175","11175","11175","0.28","0.28","0.28"
"224000","11200","11200","11200","0.28","0.28","0.28","11200","11200","11200","0.36","0.36","0.36","11200","11200","11200","0.44","0.44","0.44","11200","11200","11200","0.24","0.24","0.24","11200","11200","11200","0.24","0.24","0.24","11200","11200","11200","0.4","0.4","0.4","11200","11200","11200","0.16","0.16","0.16","11200","11200","11200","0.32","0.32","0.32","11200","11200","11200","0.24","0.24","0.24","11200","11200","11200","0.24","0.24","0.24"
"224500","11225","11225","11225","0.32","0.32","0.32","11225","11225","11225","0.36","0.36","0.36","11225","11225","11225","0.28","0.28","0.28","11225","11225","11225","0.28","0.28","0.28","11225","11225","11225","0.4","0.4","0.4","11225","11225","11225","0.36","0.36","0.36","11225","11225","11225","0.24","0.24","0.24","11225","11225","11225","0.24","0.24","0.24","11225","11225","11225","0.36","0.36","0.36","11225","11225","11225","0.28","0.28","0.28"
"225000","11250","11250","11250","0.36","0.36","0.36","11250","11250","11250","0.36","0.36","0.36","11250","11250","11250","0.24","0.24","0.24","11250","11250","11250","0.28","0.28","0.28","11250","11250","11250","0.52","0.52","0.52","11250","11250","11250","0.4","0.4","0.4","11250","11250","11250","0.32","0.32","0.32","11250","11250","11250","0.24","0.24","0.24","11250","11250","11250","0.36","0.36","0.36","11250","11250","11250","0.4","0.4","0.4"
"225500","11275","11275","11275","0.44","0.44","0.44","11275","11275","11275","0.36","0.36","0.36","11275","11275","11275","0.28","0.28","0.28","11275","11275","11275","0.24","0.24","0.24","11275","11275","11275","0.44","0.44","0.44","11275","11275","11275","0.32","0.32","0.32","11275","11275","11275","0.36","0.36","0.36","11275","11275","11275","0.32","0.32","0.32","11275","11275","11275","0.36","0.36","0.36","11275","11275","11275","0.36","0.36","0.36"
"226000","11300","11300","11300","0.32","0.32","0.32","11300","11300","11300","0.28","0.28","0.28","11300","11300","11300","0.28","0.28","0.28","11300","11300","11300","0.24","0.24","0.24","11300","11300","11300","0.28","0.28","0.28","11300","11300","11300","0.4","0.4","0.4","11300","11300","11300","0.36","0.36","0.36","11300","11300","11300","0.4","0.4","0.4","11300","11300","11300","0.48","0.48","0.48","11300","11300","11300","0.32","0.32","0.32"
"226500","11325","11325","11325","0.24","0.24","0.24","11325","11325","11325","0.44","0.44","0.44","11325","11325","11325","0.2","0.2","0.2","11325","11325","11325","0.36","0.36","0.36","11325","11325","11325","0.32","0.32","0.32","11325","11325","11325","0.28","0.28","0.28","11325","11325","11325","0.36","0.36","0.36","11325","11325","11325","0.36","0.36","0.36","11325","11325","11325","0.36","0.36","0.36","11325","11325","11325","0.36","0.36","0.36"
