"time_steps","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - expert_avg_eval_r_mean","snowy-sweep-2 - expert_avg_eval_r_mean__MIN","snowy-sweep-2 - expert_avg_eval_r_mean__MAX","sweet-sweep-9 - _step","sweet-sweep-9 - _step__MIN","sweet-sweep-9 - _step__MAX","sweet-sweep-9 - expert_avg_eval_r_mean","sweet-sweep-9 - expert_avg_eval_r_mean__MIN","sweet-sweep-9 - expert_avg_eval_r_mean__MAX","pleasant-sweep-8 - _step","pleasant-sweep-8 - _step__MIN","pleasant-sweep-8 - _step__MAX","pleasant-sweep-8 - expert_avg_eval_r_mean","pleasant-sweep-8 - expert_avg_eval_r_mean__MIN","pleasant-sweep-8 - expert_avg_eval_r_mean__MAX","apricot-sweep-7 - _step","apricot-sweep-7 - _step__MIN","apricot-sweep-7 - _step__MAX","apricot-sweep-7 - expert_avg_eval_r_mean","apricot-sweep-7 - expert_avg_eval_r_mean__MIN","apricot-sweep-7 - expert_avg_eval_r_mean__MAX","fanciful-sweep-6 - _step","fanciful-sweep-6 - _step__MIN","fanciful-sweep-6 - _step__MAX","fanciful-sweep-6 - expert_avg_eval_r_mean","fanciful-sweep-6 - expert_avg_eval_r_mean__MIN","fanciful-sweep-6 - expert_avg_eval_r_mean__MAX","polished-sweep-5 - _step","polished-sweep-5 - _step__MIN","polished-sweep-5 - _step__MAX","polished-sweep-5 - expert_avg_eval_r_mean","polished-sweep-5 - expert_avg_eval_r_mean__MIN","polished-sweep-5 - expert_avg_eval_r_mean__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - expert_avg_eval_r_mean","sunny-sweep-4 - expert_avg_eval_r_mean__MIN","sunny-sweep-4 - expert_avg_eval_r_mean__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - expert_avg_eval_r_mean","earthy-sweep-3 - expert_avg_eval_r_mean__MIN","earthy-sweep-3 - expert_avg_eval_r_mean__MAX","pious-sweep-2 - _step","pious-sweep-2 - _step__MIN","pious-sweep-2 - _step__MAX","pious-sweep-2 - expert_avg_eval_r_mean","pious-sweep-2 - expert_avg_eval_r_mean__MIN","pious-sweep-2 - expert_avg_eval_r_mean__MAX","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - expert_avg_eval_r_mean","rich-sweep-1 - expert_avg_eval_r_mean__MIN","rich-sweep-1 - expert_avg_eval_r_mean__MAX"
"195200","244","244","244","57.08453274811005","57.08453274811005","57.08453274811005","244","244","244","54.36517174095508","54.36517174095508","54.36517174095508","244","244","244","57.43303612472202","57.43303612472202","57.43303612472202","244","244","244","55.183633213600785","55.183633213600785","55.183633213600785","244","244","244","58.896321285918084","58.896321285918084","58.896321285918084","244","244","244","59.961609268888004","59.961609268888004","59.961609268888004","244","244","244","56.49395723754736","56.49395723754736","56.49395723754736","244","244","244","56.20928713383386","56.20928713383386","56.20928713383386","244","244","244","53.99814023528864","53.99814023528864","53.99814023528864","244","244","244","57.47553578272114","57.47553578272114","57.47553578272114"
"196800","246","246","246","57.1640365623519","57.1640365623519","57.1640365623519","246","246","246","54.937603098014336","54.937603098014336","54.937603098014336","246","246","246","57.79214920211361","57.79214920211361","57.79214920211361","246","246","246","55.97284674173427","55.97284674173427","55.97284674173427","246","246","246","58.937052677670614","58.937052677670614","58.937052677670614","246","246","246","59.07201536579587","59.07201536579587","59.07201536579587","246","246","246","56.96487374492668","56.96487374492668","56.96487374492668","246","246","246","56.26814321757764","56.26814321757764","56.26814321757764","246","246","246","54.36669613697686","54.36669613697686","54.36669613697686","246","246","246","58.201466501008674","58.201466501008674","58.201466501008674"
"198400","248","248","248","57.27419576772501","57.27419576772501","57.27419576772501","248","248","248","54.74400328232445","54.74400328232445","54.74400328232445","248","248","248","58.09422650071272","58.09422650071272","58.09422650071272","248","248","248","56.24816960141929","56.24816960141929","56.24816960141929","248","248","248","58.99615768397989","58.99615768397989","58.99615768397989","248","248","248","58.696330598473686","58.696330598473686","58.696330598473686","248","248","248","56.69597266188849","56.69597266188849","56.69597266188849","248","248","248","56.70901236232116","56.70901236232116","56.70901236232116","248","248","248","54.565665994791345","54.565665994791345","54.565665994791345","248","248","248","58.61962967669784","58.61962967669784","58.61962967669784"
"200000","250","250","250","57.473439164352136","57.473439164352136","57.473439164352136","250","250","250","55.33988778367721","55.33988778367721","55.33988778367721","250","250","250","57.640678369432635","57.640678369432635","57.640678369432635","250","250","250","57.05165620412113","57.05165620412113","57.05165620412113","250","250","250","59.189386225269985","59.189386225269985","59.189386225269985","250","250","250","58.399840576173354","58.399840576173354","58.399840576173354","250","250","250","56.54039416865574","56.54039416865574","56.54039416865574","250","250","250","56.42359087858302","56.42359087858302","56.42359087858302","250","250","250","54.613959981194306","54.613959981194306","54.613959981194306","250","250","250","58.70909057687825","58.70909057687825","58.70909057687825"
"201600","252","252","252","58.14262450042925","58.14262450042925","58.14262450042925","252","252","252","56.09227544594492","56.09227544594492","56.09227544594492","252","252","252","58.431087278893365","58.431087278893365","58.431087278893365","252","252","252","56.584244053300296","56.584244053300296","56.584244053300296","252","252","252","59.23690206407513","59.23690206407513","59.23690206407513","252","252","252","58.447265588635126","58.447265588635126","58.447265588635126","252","252","252","56.55349913734339","56.55349913734339","56.55349913734339","252","252","252","56.28290192484069","56.28290192484069","56.28290192484069","252","252","252","54.82615498205143","54.82615498205143","54.82615498205143","252","252","252","59.27037223530714","59.27037223530714","59.27037223530714"
"203200","254","254","254","58.621567950685446","58.621567950685446","58.621567950685446","254","254","254","56.40932830732333","56.40932830732333","56.40932830732333","254","254","254","58.60448182446139","58.60448182446139","58.60448182446139","254","254","254","56.05246871359583","56.05246871359583","56.05246871359583","254","254","254","60.02980162461807","60.02980162461807","60.02980162461807","254","254","254","58.2216149242724","58.2216149242724","58.2216149242724","254","254","254","56.30274517515087","56.30274517515087","56.30274517515087","254","254","254","56.31161465309865","56.31161465309865","56.31161465309865","254","254","254","55.06092731413273","55.06092731413273","55.06092731413273","254","254","254","59.03050092461058","59.03050092461058","59.03050092461058"
"204800","256","256","256","59.02123889797942","59.02123889797942","59.02123889797942","256","256","256","57.16705096772262","57.16705096772262","57.16705096772262","256","256","256","58.674736608535056","58.674736608535056","58.674736608535056","256","256","256","56.63526735070719","56.63526735070719","56.63526735070719","256","256","256","60.14764675962841","60.14764675962841","60.14764675962841","256","256","256","57.699788169401074","57.699788169401074","57.699788169401074","256","256","256","57.06149537488062","57.06149537488062","57.06149537488062","256","256","256","55.775314674816116","55.775314674816116","55.775314674816116","256","256","256","55.254036521512624","55.254036521512624","55.254036521512624","256","256","256","58.69020933630766","58.69020933630766","58.69020933630766"
"206400","258","258","258","58.91053348775822","58.91053348775822","58.91053348775822","258","258","258","57.75621272157299","57.75621272157299","57.75621272157299","258","258","258","58.82242002348261","58.82242002348261","58.82242002348261","258","258","258","57.008490733555206","57.008490733555206","57.008490733555206","258","258","258","59.99369226650294","59.99369226650294","59.99369226650294","258","258","258","58.308092183883964","58.308092183883964","58.308092183883964","258","258","258","57.53562174925756","57.53562174925756","57.53562174925756","258","258","258","55.850935462563115","55.850935462563115","55.850935462563115","258","258","258","55.58666539131459","55.58666539131459","55.58666539131459","258","258","258","58.45946110255598","58.45946110255598","58.45946110255598"
"208000","260","260","260","58.63340472650254","58.63340472650254","58.63340472650254","260","260","260","57.54054975057563","57.54054975057563","57.54054975057563","260","260","260","58.00964283067531","58.00964283067531","58.00964283067531","260","260","260","57.49822127086424","57.49822127086424","57.49822127086424","260","260","260","60.07821923369577","60.07821923369577","60.07821923369577","260","260","260","58.693666702476065","58.693666702476065","58.693666702476065","260","260","260","58.13706100866382","58.13706100866382","58.13706100866382","260","260","260","55.94664200626951","55.94664200626951","55.94664200626951","260","260","260","55.57748112466716","55.57748112466716","55.57748112466716","260","260","260","57.85235355072601","57.85235355072601","57.85235355072601"
"209600","262","262","262","58.75498671392805","58.75498671392805","58.75498671392805","262","262","262","56.963522729378845","56.963522729378845","56.963522729378845","262","262","262","58.14153034042989","58.14153034042989","58.14153034042989","262","262","262","57.39798541048529","57.39798541048529","57.39798541048529","262","262","262","60.47284894177673","60.47284894177673","60.47284894177673","262","262","262","58.10326748127608","58.10326748127608","58.10326748127608","262","262","262","57.57591396178831","57.57591396178831","57.57591396178831","262","262","262","56.29063742280057","56.29063742280057","56.29063742280057","262","262","262","55.860164721519325","55.860164721519325","55.860164721519325","262","262","262","57.486650838397566","57.486650838397566","57.486650838397566"
"211200","264","264","264","58.469586198368816","58.469586198368816","58.469586198368816","264","264","264","57.497602372385174","57.497602372385174","57.497602372385174","264","264","264","58.502241894077535","58.502241894077535","58.502241894077535","264","264","264","57.80014036312151","57.80014036312151","57.80014036312151","264","264","264","60.08317065892054","60.08317065892054","60.08317065892054","264","264","264","58.17092321360503","58.17092321360503","58.17092321360503","264","264","264","58.23153598308301","58.23153598308301","58.23153598308301","264","264","264","56.882518795971436","56.882518795971436","56.882518795971436","264","264","264","55.41143350504471","55.41143350504471","55.41143350504471","264","264","264","57.893806757241975","57.893806757241975","57.893806757241975"
"212800","266","266","266","58.8443718020063","58.8443718020063","58.8443718020063","266","266","266","57.77621027848825","57.77621027848825","57.77621027848825","266","266","266","58.89657359537183","58.89657359537183","58.89657359537183","266","266","266","57.304035524911185","57.304035524911185","57.304035524911185","266","266","266","60.125069392244356","60.125069392244356","60.125069392244356","266","266","266","58.49259274463793","58.49259274463793","58.49259274463793","266","266","266","58.016362984642434","58.016362984642434","58.016362984642434","266","266","266","57.30773078691434","57.30773078691434","57.30773078691434","266","266","266","55.45935474690262","55.45935474690262","55.45935474690262","266","266","266","57.907972522382","57.907972522382","57.907972522382"
"214400","268","268","268","58.616155689797026","58.616155689797026","58.616155689797026","268","268","268","57.6119258559761","57.6119258559761","57.6119258559761","268","268","268","59.31734608127463","59.31734608127463","59.31734608127463","268","268","268","57.14118030698691","57.14118030698691","57.14118030698691","268","268","268","59.83805215852098","59.83805215852098","59.83805215852098","268","268","268","58.8859898428125","58.8859898428125","58.8859898428125","268","268","268","58.680105030963034","58.680105030963034","58.680105030963034","268","268","268","56.68031854117759","56.68031854117759","56.68031854117759","268","268","268","55.80349480359394","55.80349480359394","55.80349480359394","268","268","268","58.69712151430241","58.69712151430241","58.69712151430241"
"216000","270","270","270","58.98913736909993","58.98913736909993","58.98913736909993","270","270","270","57.68890894036822","57.68890894036822","57.68890894036822","270","270","270","59.21171292976408","59.21171292976408","59.21171292976408","270","270","270","57.189794414299264","57.189794414299264","57.189794414299264","270","270","270","59.92913549745597","59.92913549745597","59.92913549745597","270","270","270","58.98672651861395","58.98672651861395","58.98672651861395","270","270","270","59.24400443466437","59.24400443466437","59.24400443466437","270","270","270","57.33245332134846","57.33245332134846","57.33245332134846","270","270","270","55.604452998157996","55.604452998157996","55.604452998157996","270","270","270","59.484255949855225","59.484255949855225","59.484255949855225"
"217600","272","272","272","59.029783768137804","59.029783768137804","59.029783768137804","272","272","272","57.394252294179566","57.394252294179566","57.394252294179566","272","272","272","60.2935078744771","60.2935078744771","60.2935078744771","272","272","272","57.364702894440946","57.364702894440946","57.364702894440946","272","272","272","59.582207833121664","59.582207833121664","59.582207833121664","272","272","272","58.90031698602106","58.90031698602106","58.90031698602106","272","272","272","59.15263140766063","59.15263140766063","59.15263140766063","272","272","272","57.680514541109204","57.680514541109204","57.680514541109204","272","272","272","55.551457550221045","55.551457550221045","55.551457550221045","272","272","272","59.588376480614734","59.588376480614734","59.588376480614734"
"219200","274","274","274","59.38318472918857","59.38318472918857","59.38318472918857","274","274","274","57.46230189105253","57.46230189105253","57.46230189105253","274","274","274","59.804630748275066","59.804630748275066","59.804630748275066","274","274","274","57.103595804362456","57.103595804362456","57.103595804362456","274","274","274","59.75041489554335","59.75041489554335","59.75041489554335","274","274","274","59.59788892819849","59.59788892819849","59.59788892819849","274","274","274","58.568214058699624","58.568214058699624","58.568214058699624","274","274","274","58.02165158165494","58.02165158165494","58.02165158165494","274","274","274","55.70635238448543","55.70635238448543","55.70635238448543","274","274","274","59.573342973686486","59.573342973686486","59.573342973686486"
"220800","276","276","276","58.80458920612828","58.80458920612828","58.80458920612828","276","276","276","57.95841433484286","57.95841433484286","57.95841433484286","276","276","276","60.63787062912309","60.63787062912309","60.63787062912309","276","276","276","57.50459765858814","57.50459765858814","57.50459765858814","276","276","276","59.78527810413624","59.78527810413624","59.78527810413624","276","276","276","59.720491790086506","59.720491790086506","59.720491790086506","276","276","276","58.442457849306514","58.442457849306514","58.442457849306514","276","276","276","58.35181732887164","58.35181732887164","58.35181732887164","276","276","276","55.94536412319107","55.94536412319107","55.94536412319107","276","276","276","59.38950780589992","59.38950780589992","59.38950780589992"
"222400","278","278","278","59.21590425087263","59.21590425087263","59.21590425087263","278","278","278","58.039442076994646","58.039442076994646","58.039442076994646","278","278","278","61.0596079849667","61.0596079849667","61.0596079849667","278","278","278","58.4213602147087","58.4213602147087","58.4213602147087","278","278","278","59.83247907693894","59.83247907693894","59.83247907693894","278","278","278","59.33152391140064","59.33152391140064","59.33152391140064","278","278","278","58.54386484755947","58.54386484755947","58.54386484755947","278","278","278","58.62678342598172","58.62678342598172","58.62678342598172","278","278","278","56.08873287812991","56.08873287812991","56.08873287812991","278","278","278","59.75750138732978","59.75750138732978","59.75750138732978"
"224000","280","280","280","59.762225797769545","59.762225797769545","59.762225797769545","280","280","280","57.6711521281108","57.6711521281108","57.6711521281108","280","280","280","61.08889482989833","61.08889482989833","61.08889482989833","280","280","280","58.65370125282672","58.65370125282672","58.65370125282672","280","280","280","59.45687881970178","59.45687881970178","59.45687881970178","280","280","280","59.051328352581194","59.051328352581194","59.051328352581194","280","280","280","57.91886984061121","57.91886984061121","57.91886984061121","280","280","280","58.65448557617134","58.65448557617134","58.65448557617134","280","280","280","56.22228293498063","56.22228293498063","56.22228293498063","280","280","280","59.84065995978778","59.84065995978778","59.84065995978778"
"225600","282","282","282","59.80891861619164","59.80891861619164","59.80891861619164","282","282","282","57.99064159994885","57.99064159994885","57.99064159994885","282","282","282","60.760533330226714","60.760533330226714","60.760533330226714","282","282","282","58.73944618323594","58.73944618323594","58.73944618323594","282","282","282","58.54676781787567","58.54676781787567","58.54676781787567","282","282","282","58.96255858263215","58.96255858263215","58.96255858263215","282","282","282","57.92243765051506","57.92243765051506","57.92243765051506","282","282","282","58.346494959591375","58.346494959591375","58.346494959591375","282","282","282","56.27587416118345","56.27587416118345","56.27587416118345","282","282","282","60.5066260991521","60.5066260991521","60.5066260991521"
"227200","284","284","284","60.447161780479476","60.447161780479476","60.447161780479476","284","284","284","58.076290868800385","58.076290868800385","58.076290868800385","284","284","284","60.84528494575781","60.84528494575781","60.84528494575781","284","284","284","58.827189345760374","58.827189345760374","58.827189345760374","284","284","284","58.68779927616411","58.68779927616411","58.68779927616411","284","284","284","58.967610734793425","58.967610734793425","58.967610734793425","284","284","284","58.319518440543874","58.319518440543874","58.319518440543874","284","284","284","57.952177498663474","57.952177498663474","57.952177498663474","284","284","284","56.63538179613994","56.63538179613994","56.63538179613994","284","284","284","61.105685966786496","61.105685966786496","61.105685966786496"
"228800","286","286","286","60.22254250678546","60.22254250678546","60.22254250678546","286","286","286","58.094708204027896","58.094708204027896","58.094708204027896","286","286","286","60.614938191204175","60.614938191204175","60.614938191204175","286","286","286","58.91232650617722","58.91232650617722","58.91232650617722","286","286","286","58.58184858000211","58.58184858000211","58.58184858000211","286","286","286","59.298956128894936","59.298956128894936","59.298956128894936","286","286","286","58.39581467307571","58.39581467307571","58.39581467307571","286","286","286","58.03562716353926","58.03562716353926","58.03562716353926","286","286","286","56.653302120802756","56.653302120802756","56.653302120802756","286","286","286","61.91515098717884","61.91515098717884","61.91515098717884"
"230400","288","288","288","60.2214609947546","60.2214609947546","60.2214609947546","288","288","288","58.08059955676621","58.08059955676621","58.08059955676621","288","288","288","59.555251634373505","59.555251634373505","59.555251634373505","288","288","288","58.63694617534284","58.63694617534284","58.63694617534284","288","288","288","58.817103359011206","58.817103359011206","58.817103359011206","288","288","288","59.06131906081593","59.06131906081593","59.06131906081593","288","288","288","58.43855318661814","58.43855318661814","58.43855318661814","288","288","288","58.103403135099924","58.103403135099924","58.103403135099924","288","288","288","56.198618236443515","56.198618236443515","56.198618236443515","288","288","288","62.17556887757701","62.17556887757701","62.17556887757701"
"232000","290","290","290","60.209276113252336","60.209276113252336","60.209276113252336","290","290","290","58.52857475376124","58.52857475376124","58.52857475376124","290","290","290","60.33949835461499","60.33949835461499","60.33949835461499","290","290","290","58.3929282501098","58.3929282501098","58.3929282501098","290","290","290","59.16057632360377","59.16057632360377","59.16057632360377","290","290","290","59.40915172243739","59.40915172243739","59.40915172243739","290","290","290","58.05033051306769","58.05033051306769","58.05033051306769","290","290","290","58.462657535475536","58.462657535475536","58.462657535475536","290","290","290","56.168358834276916","56.168358834276916","56.168358834276916","290","290","290","62.2151459126265","62.2151459126265","62.2151459126265"
"233600","292","292","292","60.4968566279354","60.4968566279354","60.4968566279354","292","292","292","58.18803706178534","58.18803706178534","58.18803706178534","292","292","292","59.91059427073561","59.91059427073561","59.91059427073561","292","292","292","59.039765312422794","59.039765312422794","59.039765312422794","292","292","292","58.85436973113964","58.85436973113964","58.85436973113964","292","292","292","58.76219904950173","58.76219904950173","58.76219904950173","292","292","292","58.41244814479096","58.41244814479096","58.41244814479096","292","292","292","58.56505054872332","58.56505054872332","58.56505054872332","292","292","292","56.58428604630145","56.58428604630145","56.58428604630145","292","292","292","62.57840353924737","62.57840353924737","62.57840353924737"
"235200","294","294","294","59.84616295386003","59.84616295386003","59.84616295386003","294","294","294","58.24698069247101","58.24698069247101","58.24698069247101","294","294","294","59.33243460595519","59.33243460595519","59.33243460595519","294","294","294","58.79345276428496","58.79345276428496","58.79345276428496","294","294","294","58.86051229203137","58.86051229203137","58.86051229203137","294","294","294","58.187663506743355","58.187663506743355","58.187663506743355","294","294","294","58.18600995560155","58.18600995560155","58.18600995560155","294","294","294","58.831375715334154","58.831375715334154","58.831375715334154","294","294","294","56.393890663146976","56.393890663146976","56.393890663146976","294","294","294","62.25012254241591","62.25012254241591","62.25012254241591"
"236800","296","296","296","60.86291709620586","60.86291709620586","60.86291709620586","296","296","296","57.890928559975436","57.890928559975436","57.890928559975436","296","296","296","59.39725204270131","59.39725204270131","59.39725204270131","296","296","296","58.31529917725511","58.31529917725511","58.31529917725511","296","296","296","58.63803433996431","58.63803433996431","58.63803433996431","296","296","296","58.44341701614123","58.44341701614123","58.44341701614123","296","296","296","58.64523148834984","58.64523148834984","58.64523148834984","296","296","296","58.82979788069376","58.82979788069376","58.82979788069376","296","296","296","56.84646293459708","56.84646293459708","56.84646293459708","296","296","296","61.60706673815898","61.60706673815898","61.60706673815898"
"238400","298","298","298","60.79634464577525","60.79634464577525","60.79634464577525","298","298","298","58.02283074012823","58.02283074012823","58.02283074012823","298","298","298","59.73315547379918","59.73315547379918","59.73315547379918","298","298","298","58.42000939241174","58.42000939241174","58.42000939241174","298","298","298","58.99249940658247","58.99249940658247","58.99249940658247","298","298","298","58.51447759647905","58.51447759647905","58.51447759647905","298","298","298","57.98938366152612","57.98938366152612","57.98938366152612","298","298","298","58.208956277642386","58.208956277642386","58.208956277642386","298","298","298","56.863952655941965","56.863952655941965","56.863952655941965","298","298","298","61.552553832477045","61.552553832477045","61.552553832477045"
"240000","300","300","300","60.87013788728151","60.87013788728151","60.87013788728151","300","300","300","57.3042448571194","57.3042448571194","57.3042448571194","300","300","300","60.123782364887084","60.123782364887084","60.123782364887084","300","300","300","57.9306689811726","57.9306689811726","57.9306689811726","300","300","300","58.25488683103556","58.25488683103556","58.25488683103556","300","300","300","57.845260112497606","57.845260112497606","57.845260112497606","300","300","300","58.697587405665054","58.697587405665054","58.697587405665054","300","300","300","58.99740198150098","58.99740198150098","58.99740198150098","300","300","300","56.90924322134948","56.90924322134948","56.90924322134948","300","300","300","61.49911647254794","61.49911647254794","61.49911647254794"
"241600","302","302","302","60.29953730132336","60.29953730132336","60.29953730132336","302","302","302","56.997703327150504","56.997703327150504","56.997703327150504","302","302","302","60.17900798783061","60.17900798783061","60.17900798783061","302","302","302","58.634423076543136","58.634423076543136","58.634423076543136","302","302","302","58.73463670791603","58.73463670791603","58.73463670791603","302","302","302","57.92806678632132","57.92806678632132","57.92806678632132","302","302","302","58.44761990110076","58.44761990110076","58.44761990110076","302","302","302","59.33771598250812","59.33771598250812","59.33771598250812","302","302","302","56.75710091763764","56.75710091763764","56.75710091763764","302","302","302","61.43700220605472","61.43700220605472","61.43700220605472"
"243200","304","304","304","60.5616038119212","60.5616038119212","60.5616038119212","304","304","304","57.702998918196336","57.702998918196336","57.702998918196336","304","304","304","60.678391994407946","60.678391994407946","60.678391994407946","304","304","304","58.97257398697963","58.97257398697963","58.97257398697963","304","304","304","58.1849336045126","58.1849336045126","58.1849336045126","304","304","304","58.260004514758684","58.260004514758684","58.260004514758684","304","304","304","59.06661373994389","59.06661373994389","59.06661373994389","304","304","304","59.464697873520365","59.464697873520365","59.464697873520365","304","304","304","56.24312748138385","56.24312748138385","56.24312748138385","304","304","304","61.74539982732524","61.74539982732524","61.74539982732524"
"244800","306","306","306","60.24522599417817","60.24522599417817","60.24522599417817","306","306","306","57.386320075738595","57.386320075738595","57.386320075738595","306","306","306","61.104648793419976","61.104648793419976","61.104648793419976","306","306","306","59.05487222996624","59.05487222996624","59.05487222996624","306","306","306","58.2797644762625","58.2797644762625","58.2797644762625","306","306","306","58.78812522411048","58.78812522411048","58.78812522411048","306","306","306","58.50788570459741","58.50788570459741","58.50788570459741","306","306","306","60.12720401940051","60.12720401940051","60.12720401940051","306","306","306","55.38033250807058","55.38033250807058","55.38033250807058","306","306","306","62.16850780809111","62.16850780809111","62.16850780809111"
"246400","308","308","308","60.99557484113566","60.99557484113566","60.99557484113566","308","308","308","57.472592296849214","57.472592296849214","57.472592296849214","308","308","308","60.77108818910331","60.77108818910331","60.77108818910331","308","308","308","58.46451428388768","58.46451428388768","58.46451428388768","308","308","308","58.65927773759422","58.65927773759422","58.65927773759422","308","308","308","58.81510081597848","58.81510081597848","58.81510081597848","308","308","308","58.484840043596385","58.484840043596385","58.484840043596385","308","308","308","60.48488856723559","60.48488856723559","60.48488856723559","308","308","308","55.42748367121197","55.42748367121197","55.42748367121197","308","308","308","62.22693586342061","62.22693586342061","62.22693586342061"
"248000","310","310","310","61.75611161520569","61.75611161520569","61.75611161520569","310","310","310","57.46614961524273","57.46614961524273","57.46614961524273","310","310","310","61.07657481114291","61.07657481114291","61.07657481114291","310","310","310","58.26030170779973","58.26030170779973","58.26030170779973","310","310","310","59.10485685182899","59.10485685182899","59.10485685182899","310","310","310","58.094458853102225","58.094458853102225","58.094458853102225","310","310","310","58.037710127995936","58.037710127995936","58.037710127995936","310","310","310","59.885546871671885","59.885546871671885","59.885546871671885","310","310","310","55.794922696760395","55.794922696760395","55.794922696760395","310","310","310","62.923831651776446","62.923831651776446","62.923831651776446"
"249600","312","312","312","61.132876854396116","61.132876854396116","61.132876854396116","312","312","312","57.81253591474342","57.81253591474342","57.81253591474342","312","312","312","60.46478225960015","60.46478225960015","60.46478225960015","312","312","312","58.10781074378506","58.10781074378506","58.10781074378506","312","312","312","58.855425628635274","58.855425628635274","58.855425628635274","312","312","312","58.10563745496242","58.10563745496242","58.10563745496242","312","312","312","58.72986317928884","58.72986317928884","58.72986317928884","312","312","312","59.64911137612165","59.64911137612165","59.64911137612165","312","312","312","55.55594162843729","55.55594162843729","55.55594162843729","312","312","312","63.394686294700335","63.394686294700335","63.394686294700335"
"251200","314","314","314","61.881985239109056","61.881985239109056","61.881985239109056","314","314","314","57.18143336758723","57.18143336758723","57.18143336758723","314","314","314","60.551071569353624","60.551071569353624","60.551071569353624","314","314","314","57.80395536560731","57.80395536560731","57.80395536560731","314","314","314","59.00301701467519","59.00301701467519","59.00301701467519","314","314","314","57.746172852020834","57.746172852020834","57.746172852020834","314","314","314","58.25161297771993","58.25161297771993","58.25161297771993","314","314","314","59.79271868001606","59.79271868001606","59.79271868001606","314","314","314","55.531421231311946","55.531421231311946","55.531421231311946","314","314","314","63.46604011384323","63.46604011384323","63.46604011384323"
"252800","316","316","316","61.60117792380379","61.60117792380379","61.60117792380379","316","316","316","57.6146592712405","57.6146592712405","57.6146592712405","316","316","316","60.95111835236231","60.95111835236231","60.95111835236231","316","316","316","58.15909753455353","58.15909753455353","58.15909753455353","316","316","316","59.42206719872904","59.42206719872904","59.42206719872904","316","316","316","57.514779043008836","57.514779043008836","57.514779043008836","316","316","316","58.43585652422562","58.43585652422562","58.43585652422562","316","316","316","60.597201645932046","60.597201645932046","60.597201645932046","316","316","316","55.35391587476297","55.35391587476297","55.35391587476297","316","316","316","62.508527353478804","62.508527353478804","62.508527353478804"
"254400","318","318","318","61.612472284218704","61.612472284218704","61.612472284218704","318","318","318","58.34967992103462","58.34967992103462","58.34967992103462","318","318","318","61.35294095608327","61.35294095608327","61.35294095608327","318","318","318","57.84513071886591","57.84513071886591","57.84513071886591","318","318","318","59.13311626890098","59.13311626890098","59.13311626890098","318","318","318","57.16142452149705","57.16142452149705","57.16142452149705","318","318","318","58.15736380459703","58.15736380459703","58.15736380459703","318","318","318","61.31558662797217","61.31558662797217","61.31558662797217","318","318","318","55.65608001954088","55.65608001954088","55.65608001954088","318","318","318","62.466669671447995","62.466669671447995","62.466669671447995"
"256000","320","320","320","61.61907537845034","61.61907537845034","61.61907537845034","320","320","320","58.690671740647204","58.690671740647204","58.690671740647204","320","320","320","61.34649376929693","61.34649376929693","61.34649376929693","320","320","320","57.50228659010641","57.50228659010641","57.50228659010641","320","320","320","58.8848355453585","58.8848355453585","58.8848355453585","320","320","320","57.47615643258005","57.47615643258005","57.47615643258005","320","320","320","58.274268030115884","58.274268030115884","58.274268030115884","320","320","320","60.76927384631235","60.76927384631235","60.76927384631235","320","320","320","56.54940128492004","56.54940128492004","56.54940128492004","320","320","320","62.1167839205931","62.1167839205931","62.1167839205931"
"257600","322","322","322","61.66930918357695","61.66930918357695","61.66930918357695","322","322","322","59.136215710474254","59.136215710474254","59.136215710474254","322","322","322","60.66407538678578","60.66407538678578","60.66407538678578","322","322","322","57.811600409731845","57.811600409731845","57.811600409731845","322","322","322","59.70185270646337","59.70185270646337","59.70185270646337","322","322","322","57.33621204751078","57.33621204751078","57.33621204751078","322","322","322","58.98236239614496","58.98236239614496","58.98236239614496","322","322","322","60.46744845883588","60.46744845883588","60.46744845883588","322","322","322","57.299825646318624","57.299825646318624","57.299825646318624","322","322","322","62.18389764295882","62.18389764295882","62.18389764295882"
"259200","324","324","324","61.33354499088803","61.33354499088803","61.33354499088803","324","324","324","59.472083296894105","59.472083296894105","59.472083296894105","324","324","324","60.68032686016777","60.68032686016777","60.68032686016777","324","324","324","57.904561069224336","57.904561069224336","57.904561069224336","324","324","324","59.23307642405005","59.23307642405005","59.23307642405005","324","324","324","56.781729486885105","56.781729486885105","56.781729486885105","324","324","324","59.61984905020645","59.61984905020645","59.61984905020645","324","324","324","61.151711384347934","61.151711384347934","61.151711384347934","324","324","324","57.43329075874037","57.43329075874037","57.43329075874037","324","324","324","62.55099377850427","62.55099377850427","62.55099377850427"
