"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - collision_end_mean","silvery-sweep-6 - collision_end_mean__MIN","silvery-sweep-6 - collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - collision_end_mean","jumping-sweep-5 - collision_end_mean__MIN","jumping-sweep-5 - collision_end_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - collision_end_mean","zany-sweep-4 - collision_end_mean__MIN","zany-sweep-4 - collision_end_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - collision_end_mean","visionary-sweep-3 - collision_end_mean__MIN","visionary-sweep-3 - collision_end_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - collision_end_mean","wandering-sweep-2 - collision_end_mean__MIN","wandering-sweep-2 - collision_end_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - collision_end_mean","eager-sweep-5 - collision_end_mean__MIN","eager-sweep-5 - collision_end_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - collision_end_mean","wild-sweep-3 - collision_end_mean__MIN","wild-sweep-3 - collision_end_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - collision_end_mean","blooming-sweep-4 - collision_end_mean__MIN","blooming-sweep-4 - collision_end_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - collision_end_mean","worldly-sweep-2 - collision_end_mean__MIN","worldly-sweep-2 - collision_end_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - collision_end_mean","eager-sweep-1 - collision_end_mean__MIN","eager-sweep-1 - collision_end_mean__MAX"
"198500","9900","9900","9900","0","0","0","9900","9900","9900","0","0","0","9900","9900","9900","0","0","0","9900","9900","9900","0","0","0","9900","9900","9900","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199000","9925","9925","9925","0.04","0.04","0.04","9925","9925","9925","0.04","0.04","0.04","9925","9925","9925","0","0","0","9925","9925","9925","0","0","0","9925","9925","9925","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199500","9950","9950","9950","0.04","0.04","0.04","9950","9950","9950","0.04","0.04","0.04","9950","9950","9950","0","0","0","9950","9950","9950","0","0","0","9950","9950","9950","0","0","0","3300","3300","3300","0","0","0","3300","3300","3300","0.08","0.08","0.08","3300","3300","3300","0","0","0","3300","3300","3300","0","0","0","3300","3300","3300","0","0","0"
"200000","9975","9975","9975","0.04","0.04","0.04","9975","9975","9975","0.04","0.04","0.04","9975","9975","9975","0","0","0","9975","9975","9975","0","0","0","9975","9975","9975","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200500","10000","10000","10000","0","0","0","10000","10000","10000","0","0","0","10000","10000","10000","0","0","0","10000","10000","10000","0","0","0","10000","10000","10000","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201000","10025","10025","10025","0","0","0","10025","10025","10025","0","0","0","10025","10025","10025","0","0","0","10025","10025","10025","0","0","0","10025","10025","10025","0","0","0","3325","3325","3325","0","0","0","3325","3325","3325","0","0","0","3325","3325","3325","0","0","0","3325","3325","3325","0","0","0","3325","3325","3325","0","0","0"
"201500","10050","10050","10050","0","0","0","10050","10050","10050","0","0","0","10050","10050","10050","0","0","0","10050","10050","10050","0","0","0","10050","10050","10050","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"202000","10075","10075","10075","0","0","0","10075","10075","10075","0","0","0","10075","10075","10075","0","0","0","10075","10075","10075","0","0","0","10075","10075","10075","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"202500","10100","10100","10100","0","0","0","10100","10100","10100","0","0","0","10100","10100","10100","0","0","0","10100","10100","10100","0","0","0","10100","10100","10100","0","0","0","3350","3350","3350","0.04","0.04","0.04","3350","3350","3350","0","0","0","3350","3350","3350","0","0","0","3350","3350","3350","0.08","0.08","0.08","3350","3350","3350","0","0","0"
"203000","10125","10125","10125","0","0","0","10125","10125","10125","0","0","0","10125","10125","10125","0","0","0","10125","10125","10125","0","0","0","10125","10125","10125","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203500","10150","10150","10150","0","0","0","10150","10150","10150","0","0","0","10150","10150","10150","0","0","0","10150","10150","10150","0","0","0","10150","10150","10150","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204000","10175","10175","10175","0","0","0","10175","10175","10175","0","0","0","10175","10175","10175","0","0","0","10175","10175","10175","0","0","0","10175","10175","10175","0.04","0.04","0.04","3375","3375","3375","0","0","0","3375","3375","3375","0.08","0.08","0.08","3375","3375","3375","0","0","0","3375","3375","3375","0","0","0","3375","3375","3375","0","0","0"
"204500","10200","10200","10200","0","0","0","10200","10200","10200","0","0","0","10200","10200","10200","0","0","0","10200","10200","10200","0","0","0","10200","10200","10200","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"205000","10225","10225","10225","0","0","0","10225","10225","10225","0","0","0","10225","10225","10225","0","0","0","10225","10225","10225","0","0","0","10225","10225","10225","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"205500","10250","10250","10250","0","0","0","10250","10250","10250","0","0","0","10250","10250","10250","0","0","0","10250","10250","10250","0","0","0","10250","10250","10250","0","0","0","3400","3400","3400","0","0","0","3400","3400","3400","0","0","0","3400","3400","3400","0","0","0","3400","3400","3400","0","0","0","3400","3400","3400","0","0","0"
"206000","10275","10275","10275","0","0","0","10275","10275","10275","0","0","0","10275","10275","10275","0","0","0","10275","10275","10275","0","0","0","10275","10275","10275","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"206500","10300","10300","10300","0","0","0","10300","10300","10300","0","0","0","10300","10300","10300","0","0","0","10300","10300","10300","0","0","0","10300","10300","10300","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"207000","10325","10325","10325","0","0","0","10325","10325","10325","0","0","0","10325","10325","10325","0","0","0","10325","10325","10325","0","0","0","10325","10325","10325","0","0","0","3425","3425","3425","0","0","0","3425","3425","3425","0","0","0","3425","3425","3425","0","0","0","3425","3425","3425","0","0","0","3425","3425","3425","0","0","0"
"207500","10350","10350","10350","0","0","0","10350","10350","10350","0","0","0","10350","10350","10350","0","0","0","10350","10350","10350","0","0","0","10350","10350","10350","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"208000","10375","10375","10375","0","0","0","10375","10375","10375","0","0","0","10375","10375","10375","0","0","0","10375","10375","10375","0","0","0","10375","10375","10375","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"208500","10400","10400","10400","0","0","0","10400","10400","10400","0","0","0","10400","10400","10400","0","0","0","10400","10400","10400","0","0","0","10400","10400","10400","0","0","0","3450","3450","3450","0","0","0","3450","3450","3450","0","0","0","3450","3450","3450","0","0","0","3450","3450","3450","0","0","0","3450","3450","3450","0","0","0"
"209000","10425","10425","10425","0.04","0.04","0.04","10425","10425","10425","0","0","0","10425","10425","10425","0","0","0","10425","10425","10425","0","0","0","10425","10425","10425","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"209500","10450","10450","10450","0.04","0.04","0.04","10450","10450","10450","0","0","0","10450","10450","10450","0","0","0","10450","10450","10450","0","0","0","10450","10450","10450","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210000","10475","10475","10475","0.04","0.04","0.04","10475","10475","10475","0","0","0","10475","10475","10475","0","0","0","10475","10475","10475","0","0","0","10475","10475","10475","0","0","0","3475","3475","3475","0","0","0","3475","3475","3475","0","0","0","3475","3475","3475","0","0","0","3475","3475","3475","0","0","0","3475","3475","3475","0","0","0"
"210500","10500","10500","10500","0","0","0","10500","10500","10500","0","0","0","10500","10500","10500","0","0","0","10500","10500","10500","0","0","0","10500","10500","10500","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"211000","10525","10525","10525","0","0","0","10525","10525","10525","0","0","0","10525","10525","10525","0","0","0","10525","10525","10525","0","0","0","10525","10525","10525","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"211500","10550","10550","10550","0","0","0","10550","10550","10550","0","0","0","10550","10550","10550","0","0","0","10550","10550","10550","0","0","0","10550","10550","10550","0","0","0","3500","3500","3500","0","0","0","3500","3500","3500","0","0","0","3500","3500","3500","0","0","0","3500","3500","3500","0","0","0","3500","3500","3500","0","0","0"
"212000","10575","10575","10575","0","0","0","10575","10575","10575","0","0","0","10575","10575","10575","0","0","0","10575","10575","10575","0","0","0","10575","10575","10575","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"212500","10600","10600","10600","0","0","0","10600","10600","10600","0","0","0","10600","10600","10600","0","0","0","10600","10600","10600","0","0","0","10600","10600","10600","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"213000","10625","10625","10625","0","0","0","10625","10625","10625","0","0","0","10625","10625","10625","0","0","0","10625","10625","10625","0","0","0","10625","10625","10625","0","0","0","3525","3525","3525","0","0","0","3525","3525","3525","0","0","0","3525","3525","3525","0","0","0","3525","3525","3525","0","0","0","3525","3525","3525","0","0","0"
"213500","10650","10650","10650","0","0","0","10650","10650","10650","0","0","0","10650","10650","10650","0","0","0","10650","10650","10650","0","0","0","10650","10650","10650","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"214000","10675","10675","10675","0","0","0","10675","10675","10675","0","0","0","10675","10675","10675","0","0","0","10675","10675","10675","0","0","0","10675","10675","10675","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"214500","10700","10700","10700","0","0","0","10700","10700","10700","0","0","0","10700","10700","10700","0","0","0","10700","10700","10700","0","0","0","10700","10700","10700","0","0","0","3550","3550","3550","0","0","0","3550","3550","3550","0","0","0","3550","3550","3550","0","0","0","3550","3550","3550","0","0","0","3550","3550","3550","0","0","0"
"215000","10725","10725","10725","0","0","0","10725","10725","10725","0","0","0","10725","10725","10725","0","0","0","10725","10725","10725","0","0","0","10725","10725","10725","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"215500","10750","10750","10750","0","0","0","10750","10750","10750","0","0","0","10750","10750","10750","0","0","0","10750","10750","10750","0","0","0","10750","10750","10750","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"216000","10775","10775","10775","0","0","0","10775","10775","10775","0","0","0","10775","10775","10775","0","0","0","10775","10775","10775","0","0","0","10775","10775","10775","0","0","0","3575","3575","3575","0","0","0","3575","3575","3575","0","0","0","3575","3575","3575","0","0","0","3575","3575","3575","0","0","0","3575","3575","3575","0","0","0"
"216500","10800","10800","10800","0","0","0","10800","10800","10800","0","0","0","10800","10800","10800","0","0","0","10800","10800","10800","0","0","0","10800","10800","10800","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"217000","10825","10825","10825","0","0","0","10825","10825","10825","0","0","0","10825","10825","10825","0","0","0","10825","10825","10825","0","0","0","10825","10825","10825","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"217500","10850","10850","10850","0","0","0","10850","10850","10850","0","0","0","10850","10850","10850","0","0","0","10850","10850","10850","0","0","0","10850","10850","10850","0","0","0","3600","3600","3600","0","0","0","3600","3600","3600","0","0","0","3600","3600","3600","0","0","0","3600","3600","3600","0","0","0","3600","3600","3600","0.04","0.04","0.04"
"218000","10875","10875","10875","0","0","0","10875","10875","10875","0","0","0","10875","10875","10875","0","0","0","10875","10875","10875","0","0","0","10875","10875","10875","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"218500","10900","10900","10900","0","0","0","10900","10900","10900","0","0","0","10900","10900","10900","0","0","0","10900","10900","10900","0","0","0","10900","10900","10900","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"219000","10925","10925","10925","0","0","0","10925","10925","10925","0","0","0","10925","10925","10925","0","0","0","10925","10925","10925","0","0","0","10925","10925","10925","0","0","0","3625","3625","3625","0","0","0","3625","3625","3625","0","0","0","3625","3625","3625","0","0","0","3625","3625","3625","0","0","0","3625","3625","3625","0","0","0"
"219500","10950","10950","10950","0.04","0.04","0.04","10950","10950","10950","0","0","0","10950","10950","10950","0","0","0","10950","10950","10950","0","0","0","10950","10950","10950","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"220000","10975","10975","10975","0.04","0.04","0.04","10975","10975","10975","0","0","0","10975","10975","10975","0","0","0","10975","10975","10975","0","0","0","10975","10975","10975","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"220500","11000","11000","11000","0.04","0.04","0.04","11000","11000","11000","0","0","0","11000","11000","11000","0","0","0","11000","11000","11000","0","0","0","11000","11000","11000","0","0","0","3650","3650","3650","0.04","0.04","0.04","3650","3650","3650","0","0","0","3650","3650","3650","0","0","0","3650","3650","3650","0","0","0","3650","3650","3650","0","0","0"
"221000","11025","11025","11025","0","0","0","11025","11025","11025","0","0","0","11025","11025","11025","0","0","0","11025","11025","11025","0","0","0","11025","11025","11025","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"221500","11050","11050","11050","0","0","0","11050","11050","11050","0","0","0","11050","11050","11050","0","0","0","11050","11050","11050","0","0","0","11050","11050","11050","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"222000","11075","11075","11075","0","0","0","11075","11075","11075","0","0","0","11075","11075","11075","0","0","0","11075","11075","11075","0","0","0","11075","11075","11075","0","0","0","3675","3675","3675","0","0","0","3675","3675","3675","0.04","0.04","0.04","3675","3675","3675","0","0","0","3675","3675","3675","0","0","0","3675","3675","3675","0","0","0"
"222500","11100","11100","11100","0","0","0","11100","11100","11100","0.04","0.04","0.04","11100","11100","11100","0","0","0","11100","11100","11100","0","0","0","11100","11100","11100","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"223000","11125","11125","11125","0","0","0","11125","11125","11125","0.04","0.04","0.04","11125","11125","11125","0","0","0","11125","11125","11125","0","0","0","11125","11125","11125","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"223500","11150","11150","11150","0","0","0","11150","11150","11150","0.04","0.04","0.04","11150","11150","11150","0","0","0","11150","11150","11150","0","0","0","11150","11150","11150","0","0","0","3700","3700","3700","0","0","0","3700","3700","3700","0","0","0","3700","3700","3700","0","0","0","3700","3700","3700","0","0","0","3700","3700","3700","0","0","0"
"224000","11175","11175","11175","0","0","0","11175","11175","11175","0","0","0","11175","11175","11175","0","0","0","11175","11175","11175","0","0","0","11175","11175","11175","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224500","11200","11200","11200","0","0","0","11200","11200","11200","0","0","0","11200","11200","11200","0","0","0","11200","11200","11200","0","0","0","11200","11200","11200","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225000","11225","11225","11225","0","0","0","11225","11225","11225","0","0","0","11225","11225","11225","0","0","0","11225","11225","11225","0","0","0","11225","11225","11225","0","0","0","3725","3725","3725","0.04","0.04","0.04","3725","3725","3725","0","0","0","3725","3725","3725","0","0","0","3725","3725","3725","0","0","0","3725","3725","3725","0","0","0"
"225500","11250","11250","11250","0","0","0","11250","11250","11250","0","0","0","11250","11250","11250","0","0","0","11250","11250","11250","0","0","0","11250","11250","11250","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226000","11275","11275","11275","0","0","0","11275","11275","11275","0","0","0","11275","11275","11275","0","0","0","11275","11275","11275","0","0","0","11275","11275","11275","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226500","11300","11300","11300","0","0","0","11300","11300","11300","0","0","0","11300","11300","11300","0","0","0","11300","11300","11300","0","0","0","11300","11300","11300","0","0","0","3750","3750","3750","0","0","0","3750","3750","3750","0","0","0","3750","3750","3750","0","0","0","3750","3750","3750","0","0","0","3750","3750","3750","0","0","0"
"227000","11325","11325","11325","0","0","0","11325","11325","11325","0","0","0","11325","11325","11325","0","0","0","11325","11325","11325","0","0","0","11325","11325","11325","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"227500","11350","11350","11350","0","0","0","11350","11350","11350","0","0","0","11350","11350","11350","0","0","0","11350","11350","11350","0","0","0","11350","11350","11350","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"228000","11375","11375","11375","0","0","0","11375","11375","11375","0","0","0","11375","11375","11375","0","0","0","11375","11375","11375","0","0","0","11375","11375","11375","0","0","0","3775","3775","3775","0","0","0","3775","3775","3775","0","0","0","3775","3775","3775","0","0","0","3775","3775","3775","0","0","0","3775","3775","3775","0","0","0"
"228500","11400","11400","11400","0","0","0","11400","11400","11400","0","0","0","11400","11400","11400","0","0","0","11400","11400","11400","0","0","0","11400","11400","11400","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229000","11425","11425","11425","0","0","0","11425","11425","11425","0.04","0.04","0.04","11425","11425","11425","0","0","0","11425","11425","11425","0","0","0","11425","11425","11425","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229500","11450","11450","11450","0","0","0","11450","11450","11450","0.04","0.04","0.04","11450","11450","11450","0","0","0","11450","11450","11450","0","0","0","11450","11450","11450","0","0","0","3800","3800","3800","0","0","0","3800","3800","3800","0","0","0","3800","3800","3800","0","0","0","3800","3800","3800","0.04","0.04","0.04","3800","3800","3800","0","0","0"
"230000","11475","11475","11475","0","0","0","11475","11475","11475","0.04","0.04","0.04","11475","11475","11475","0","0","0","11475","11475","11475","0","0","0","11475","11475","11475","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"230500","11500","11500","11500","0","0","0","11500","11500","11500","0","0","0","11500","11500","11500","0","0","0","11500","11500","11500","0","0","0","11500","11500","11500","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"231000","11525","11525","11525","0","0","0","11525","11525","11525","0","0","0","11525","11525","11525","0","0","0","11525","11525","11525","0","0","0","11525","11525","11525","0","0","0","3825","3825","3825","0","0","0","3825","3825","3825","0","0","0","3825","3825","3825","0","0","0","3825","3825","3825","0","0","0","3825","3825","3825","0","0","0"
"231500","11550","11550","11550","0","0","0","11550","11550","11550","0","0","0","11550","11550","11550","0","0","0","11550","11550","11550","0","0","0","11550","11550","11550","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232000","11575","11575","11575","0","0","0","11575","11575","11575","0","0","0","11575","11575","11575","0","0","0","11575","11575","11575","0","0","0","11575","11575","11575","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232500","11600","11600","11600","0","0","0","11600","11600","11600","0","0","0","11600","11600","11600","0","0","0","11600","11600","11600","0","0","0","11600","11600","11600","0","0","0","3850","3850","3850","0","0","0","3850","3850","3850","0","0","0","3850","3850","3850","0","0","0","3850","3850","3850","0","0","0","3850","3850","3850","0","0","0"
"233000","11625","11625","11625","0","0","0","11625","11625","11625","0","0","0","11625","11625","11625","0","0","0","11625","11625","11625","0","0","0","11625","11625","11625","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233500","11650","11650","11650","0","0","0","11650","11650","11650","0","0","0","11650","11650","11650","0","0","0","11650","11650","11650","0","0","0","11650","11650","11650","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234000","11675","11675","11675","0","0","0","11675","11675","11675","0","0","0","11675","11675","11675","0","0","0","11675","11675","11675","0","0","0","11675","11675","11675","0","0","0","3875","3875","3875","0","0","0","3875","3875","3875","0.08","0.08","0.08","3875","3875","3875","0","0","0","3875","3875","3875","0","0","0","3875","3875","3875","0","0","0"
"234500","11700","11700","11700","0.04","0.04","0.04","11700","11700","11700","0","0","0","11700","11700","11700","0","0","0","11700","11700","11700","0","0","0","11700","11700","11700","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"235000","11725","11725","11725","0.04","0.04","0.04","11725","11725","11725","0","0","0","11725","11725","11725","0","0","0","11725","11725","11725","0","0","0","11725","11725","11725","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"235500","11750","11750","11750","0.04","0.04","0.04","11750","11750","11750","0","0","0","11750","11750","11750","0","0","0","11750","11750","11750","0","0","0","11750","11750","11750","0","0","0","3900","3900","3900","0","0","0","3900","3900","3900","0","0","0","3900","3900","3900","0","0","0","3900","3900","3900","0","0","0","3900","3900","3900","0","0","0"
"236000","11775","11775","11775","0","0","0","11775","11775","11775","0","0","0","11775","11775","11775","0","0","0","11775","11775","11775","0","0","0","11775","11775","11775","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236500","11800","11800","11800","0","0","0","11800","11800","11800","0","0","0","11800","11800","11800","0","0","0","11800","11800","11800","0","0","0","11800","11800","11800","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237000","11825","11825","11825","0","0","0","11825","11825","11825","0","0","0","11825","11825","11825","0","0","0","11825","11825","11825","0","0","0","11825","11825","11825","0","0","0","3925","3925","3925","0","0","0","3925","3925","3925","0","0","0","3925","3925","3925","0","0","0","3925","3925","3925","0","0","0","3925","3925","3925","0","0","0"
"237500","11850","11850","11850","0","0","0","11850","11850","11850","0","0","0","11850","11850","11850","0","0","0","11850","11850","11850","0","0","0","11850","11850","11850","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238000","11875","11875","11875","0","0","0","11875","11875","11875","0","0","0","11875","11875","11875","0","0","0","11875","11875","11875","0","0","0","11875","11875","11875","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238500","11900","11900","11900","0","0","0","11900","11900","11900","0","0","0","11900","11900","11900","0","0","0","11900","11900","11900","0","0","0","11900","11900","11900","0","0","0","3950","3950","3950","0","0","0","3950","3950","3950","0","0","0","3950","3950","3950","0","0","0","3950","3950","3950","0","0","0","3950","3950","3950","0","0","0"
"239000","11925","11925","11925","0","0","0","11925","11925","11925","0","0","0","11925","11925","11925","0","0","0","11925","11925","11925","0","0","0","11925","11925","11925","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"239500","11950","11950","11950","0","0","0","11950","11950","11950","0","0","0","11950","11950","11950","0","0","0","11950","11950","11950","0","0","0","11950","11950","11950","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240000","11975","11975","11975","0","0","0","11975","11975","11975","0","0","0","11975","11975","11975","0","0","0","11975","11975","11975","0","0","0","11975","11975","11975","0","0","0","3975","3975","3975","0","0","0","3975","3975","3975","0","0","0","3975","3975","3975","0","0","0","3975","3975","3975","0","0","0","3975","3975","3975","0","0","0"
"240500","12000","12000","12000","0","0","0","12000","12000","12000","0","0","0","12000","12000","12000","0","0","0","12000","12000","12000","0","0","0","12000","12000","12000","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"241000","12025","12025","12025","0","0","0","12025","12025","12025","0","0","0","12025","12025","12025","0","0","0","12025","12025","12025","0","0","0","12025","12025","12025","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"241500","12050","12050","12050","0","0","0","12050","12050","12050","0","0","0","12050","12050","12050","0","0","0","12050","12050","12050","0","0","0","12050","12050","12050","0","0","0","4000","4000","4000","0","0","0","4000","4000","4000","0","0","0","4000","4000","4000","0.04","0.04","0.04","4000","4000","4000","0","0","0","4000","4000","4000","0","0","0"
"242000","12075","12075","12075","0","0","0","12075","12075","12075","0","0","0","12075","12075","12075","0.04","0.04","0.04","12075","12075","12075","0","0","0","12075","12075","12075","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242500","12100","12100","12100","0","0","0","12100","12100","12100","0","0","0","12100","12100","12100","0.04","0.04","0.04","12100","12100","12100","0","0","0","12100","12100","12100","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"243000","12125","12125","12125","0","0","0","12125","12125","12125","0","0","0","12125","12125","12125","0","0","0","12125","12125","12125","0","0","0","12125","12125","12125","0","0","0","4025","4025","4025","0.04","0.04","0.04","4025","4025","4025","0","0","0","4025","4025","4025","0","0","0","4025","4025","4025","0","0","0","4025","4025","4025","0","0","0"
"243500","12150","12150","12150","0","0","0","12150","12150","12150","0","0","0","12150","12150","12150","0","0","0","12150","12150","12150","0","0","0","12150","12150","12150","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"244000","12175","12175","12175","0","0","0","12175","12175","12175","0","0","0","12175","12175","12175","0","0","0","12175","12175","12175","0","0","0","12175","12175","12175","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"244500","12200","12200","12200","0","0","0","12200","12200","12200","0","0","0","12200","12200","12200","0","0","0","12200","12200","12200","0","0","0","12200","12200","12200","0.08","0.08","0.08","4050","4050","4050","0","0","0","4050","4050","4050","0","0","0","4050","4050","4050","0.04","0.04","0.04","4050","4050","4050","0.04","0.04","0.04","4050","4050","4050","0","0","0"
"245000","12225","12225","12225","0","0","0","12225","12225","12225","0","0","0","12225","12225","12225","0","0","0","12225","12225","12225","0","0","0","12225","12225","12225","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"245500","12250","12250","12250","0","0","0","12250","12250","12250","0","0","0","12250","12250","12250","0","0","0","12250","12250","12250","0","0","0","12250","12250","12250","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"246000","12275","12275","12275","0","0","0","12275","12275","12275","0","0","0","12275","12275","12275","0","0","0","12275","12275","12275","0","0","0","12275","12275","12275","0.04","0.04","0.04","4075","4075","4075","0","0","0","4075","4075","4075","0.08","0.08","0.08","4075","4075","4075","0","0","0","4075","4075","4075","0","0","0","4075","4075","4075","0","0","0"
"246500","12300","12300","12300","0","0","0","12300","12300","12300","0","0","0","12300","12300","12300","0","0","0","12300","12300","12300","0","0","0","12300","12300","12300","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247000","12325","12325","12325","0","0","0","12325","12325","12325","0","0","0","12325","12325","12325","0","0","0","12325","12325","12325","0","0","0","12325","12325","12325","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247500","12350","12350","12350","0","0","0","12350","12350","12350","0","0","0","12350","12350","12350","0","0","0","12350","12350","12350","0","0","0","12350","12350","12350","0","0","0","4100","4100","4100","0","0","0","4100","4100","4100","0","0","0","4100","4100","4100","0","0","0","4100","4100","4100","0","0","0","4100","4100","4100","0","0","0"
"248000","12375","12375","12375","0","0","0","12375","12375","12375","0","0","0","12375","12375","12375","0","0","0","12375","12375","12375","0","0","0","12375","12375","12375","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
